worker_setting,problem,algorithm,seed,run_index,status,runtime_seconds,HV,IGD,IGD_PLUS,GD,spread,feasibility_ratio,n_evals,budget_expected,metrics_json_found,history_json_found,objectives_found,decisions_found,formal_runtime_included,excluded_reason,source_metrics_json,notes
6,ZDT3,MOSADE,2684470948,0,ok,443.4002631000476,7.805955841510873,0.0022541662799235047,0.000686965989675369,0.0003834991058188722,0.5179408876589197,1.0,300020,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_000/metrics.json,
6,ZDT3,MOSADE,4091952314,1,ok,458.3260611000005,7.806009687602988,0.0022429584976372675,0.0006401714088432917,0.00033915991109764883,0.4881847974895582,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_001/metrics.json,
6,ZDT3,MOSADE,233227757,2,ok,463.54523299995344,7.805946453105384,0.0022595593583880713,0.0006863889196989612,0.00011465913695864838,0.4659999272946265,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_002/metrics.json,
6,ZDT3,MOSADE,3276785861,3,ok,444.1414631000953,7.806009558560335,0.0022821828252929375,0.0006525018163776885,0.00018174794611911253,0.49381532562212493,1.0,300020,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_003/metrics.json,
6,ZDT3,MOSADE,3644269654,4,ok,457.6294906999683,7.806051237167887,0.0022637254693022328,0.0006241519004441575,0.0010181361514960963,0.5880488090345037,1.0,300030,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_004/metrics.json,
6,ZDT3,MOSADE,1206282609,5,ok,457.75542280008085,7.805983396314495,0.0022333006704273297,0.0006573226527298834,0.00010493287320037921,0.4791639919378634,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_005/metrics.json,
6,ZDT3,MOSADE,3543069911,6,ok,450.71527000004426,7.806018622455118,0.0022892505577557357,0.0006244885851505187,0.011523616645422624,1.1203550176089907,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_006/metrics.json,
6,ZDT3,MOSADE,3479688010,7,ok,449.41131570003927,7.806022419463614,0.002265376358494744,0.000652063202089552,0.00011297771421506627,0.4660537319798334,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_007/metrics.json,
6,ZDT3,MOSADE,877132087,8,ok,450.33551739994437,7.8059786102644715,0.002290651367284177,0.0006735387723503487,0.00011834802455002542,0.47835234740255317,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_008/metrics.json,
6,ZDT3,MOSADE,1244265337,9,ok,468.64065570000093,7.805979426083407,0.002236873469478379,0.0006775304926481034,0.0001151098665938296,0.46129776749891693,1.0,300030,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_009/metrics.json,
6,ZDT3,MOSADE,2740186692,10,ok,458.28376779996324,7.805914926443277,0.002284170909920615,0.0007100166914175021,0.00017261640355557394,0.4688627311634413,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_010/metrics.json,
6,ZDT3,MOSADE,3884972972,11,ok,446.68526989989914,7.80595071988101,0.0022155667395458486,0.0006291005345345514,0.0001078727326231395,0.47357215860392793,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_011/metrics.json,
6,ZDT3,MOSADE,829139639,12,ok,464.1107637999812,7.805988907648862,0.002273028788016176,0.0006422405548452163,0.0001176982547619971,0.4840927439407278,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_012/metrics.json,
6,ZDT3,MOSADE,2545567356,13,ok,433.2203740000259,7.805947510313805,0.002288360885643587,0.0006816595831251332,0.00011910571773054997,0.4824793296875182,1.0,300020,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_013/metrics.json,
6,ZDT3,MOSADE,2718398101,14,ok,452.50296379998326,7.8059570064717985,0.00225089700330644,0.0006536248268572356,0.00010977013755580303,0.48092321107504954,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_014/metrics.json,
6,ZDT3,MOSADE,176092387,15,ok,459.51614750002045,7.806019589130526,0.0022066981243694934,0.0006350193971608484,0.00011652364795495707,0.4648077156464673,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_015/metrics.json,
6,ZDT3,MOSADE,3528048386,16,ok,446.65401840000413,7.80599769509914,0.0022759709285009528,0.0006753961746013699,0.00014253840418682387,0.46276448317162283,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_016/metrics.json,
6,ZDT3,MOSADE,569531098,17,ok,440.8646371999057,7.805878116878194,0.0022859848292715564,0.000623142549690242,0.009648836547094154,1.074574570220681,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_017/metrics.json,
6,ZDT3,MOSADE,1337295874,18,ok,496.2796154000098,7.805992638292455,0.002244391062133953,0.0006467293005791854,0.00011734456460895671,0.46728645845673494,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_018/metrics.json,
6,ZDT3,MOSADE,612016888,19,ok,504.3415140999714,7.805986725835425,0.0022549331759915124,0.0006670628248831667,0.00010643051372967913,0.48273511034630145,1.0,300020,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_019/metrics.json,
6,ZDT3,MOSADE,232150720,20,ok,494.65781620005146,7.805976957309339,0.002273848172340051,0.0006724851207847959,0.00011895372257938169,0.47113095639786495,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_020/metrics.json,
6,ZDT3,MOSADE,2324106676,21,ok,500.63222200004384,7.805923057701284,0.0022660470897209253,0.0006512318767630087,0.00010912997090730348,0.48310465330758495,1.0,300020,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_021/metrics.json,
6,ZDT3,MOSADE,1658700540,22,ok,496.5753463000292,7.805955575815126,0.0022746896997422753,0.0006548419661418014,0.00927380582338338,1.066465636688189,1.0,300010,300000,True,True,True,True,True,,results/a7_runtime_workers6/ZDT3/MOSADE/run_022/metrics.json,
