experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,status,report_status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A1,DTLZ2_n_obj3,time_s,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-0.8168574401664932,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,DTLZ2_n_obj3,hv,higher,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,usable_no_effect,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,DTLZ2_n_obj3,igd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,usable_no_effect,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,DTLZ2_n_obj3,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,usable_no_effect,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,DTLZ2_n_obj3,gd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,usable_no_effect,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,DTLZ2_n_obj3,spread,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,usable_no_effect,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,DTLZ2_n_obj3,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,-0.9334027055150884,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,WFG4,hv,higher,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,usable_no_effect,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,WFG4,igd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.021852237252861603,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,WFG4,igd_plus,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.18210197710718,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
