result_dir,problem,algorithm,seed,source_files_found,n_decisions,n_objectives,n_pareto_approximation,n_feasible_final_population_recomputed,n_feasible_final_population_metrics_json,feasibility_ratio_recomputed,feasibility_ratio_metrics_json,best_cv_recomputed,median_cv_recomputed,cv_tolerance,definition_status,notes
results/20260417_034204_benchmark_zdt,ZDT1,SPEA2,3699796293,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,2684470948,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,4091952314,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,233227757,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,3276785861,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,3644269654,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,1206282609,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,3543069911,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,3479688010,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,877132087,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,1244265337,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,2740186692,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,3884972972,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,829139639,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,2545567356,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,2718398101,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,176092387,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,3528048386,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,569531098,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,1337295874,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,612016888,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,232150720,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,2324106676,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,1658700540,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,609942288,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,3405943863,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,2257503667,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,4018327298,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,2224437599,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,168388230,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,911875363,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,3699796293,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,2684470948,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,4091952314,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,233227757,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,3276785861,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,3644269654,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,1206282609,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,3543069911,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,3479688010,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,877132087,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,1244265337,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,2740186692,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,3884972972,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,829139639,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,2545567356,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,2718398101,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,176092387,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,3528048386,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,569531098,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,1337295874,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,612016888,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,232150720,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,2324106676,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,1658700540,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,609942288,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,3405943863,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,2257503667,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,4018327298,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,2224437599,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,168388230,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,911875363,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,3699796293,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,2684470948,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,4091952314,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,233227757,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,3276785861,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,3644269654,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,1206282609,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,3543069911,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,3479688010,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,877132087,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,1244265337,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,2740186692,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,3884972972,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,829139639,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,2545567356,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,2718398101,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,176092387,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,3528048386,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,569531098,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,1337295874,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,612016888,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,232150720,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,2324106676,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,1658700540,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,609942288,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,3405943863,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,2257503667,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,4018327298,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,2224437599,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,168388230,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,911875363,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,3699796293,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,200,200,200,200,200,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,2684470948,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,4091952314,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,233227757,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,3276785861,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,3644269654,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,1206282609,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,3543069911,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,3479688010,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,877132087,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,1244265337,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,2740186692,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,3884972972,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,829139639,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,2545567356,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,2718398101,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,176092387,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,3528048386,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,569531098,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,1337295874,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,612016888,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,232150720,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,2324106676,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,1658700540,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,609942288,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,3405943863,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
